|clean_text|polarity|sentiment|created_at|id_str|user_location|screen_name|retweet_count|topic|followers
0|RT Quieres solicitar una hipoteca personalizada Descubre m s aqu|0.0|neutral|2020-01-05 22:49:15|1213955649085886464||jingrentitur|1|bankinter|0
1|acelga bankinter va a entrar en quiebra|0.0|neutral|2020-01-05 22:03:08|1213944043199193090||37f4b6ea012244e|0|bankinter|0
2|que es el cobro de 100 euros qu tengo en la cuenta de bankinter|0.0|neutral|2020-01-05 22:01:29|1213943627724001281||37f4b6ea012244e|0|bankinter|0
3|que es el cobro de 100 euros qu tengo en la cuenta de bankinter|0.0|neutral|2020-01-05 22:01:20|1213943589396504583||37f4b6ea012244e|0|bankinter|0
4|que es el cobro de 100 euros qu tengo en la cuenta de bankinter|0.0|neutral|2020-01-05 22:01:10|1213943546010644481||37f4b6ea012244e|0|bankinter|0
5|que es el cobro de 100 euros qu tengo en la cuenta de bankinter|0.0|neutral|2020-01-05 22:01:02|1213943514834321409||37f4b6ea012244e|0|bankinter|0
6|que es el cobro de 100 euros qu tengo en la cuenta de bankinter|0.0|neutral|2020-01-05 22:00:55|1213943485155467266||37f4b6ea012244e|0|bankinter|0
7|por que tengo un movimiento en espera de bankinter de 100 solo me pone la fecha y bankin|0.0|neutral|2020-01-05 22:00:20|1213943340351311873||37f4b6ea012244e|0|bankinter|0
8|Cierto es buen hombre tengo 80 000 euros en plazo en bankinter ven si tienes cojones y qu tame un puto c|-0.21666666666666667|negative|2020-01-05 20:58:23|1213927747388628994|Los Angeles, CA|pasodepasar|0|bankinter|486
9|As hemos vivido en un a o muy solidario y sobre todo muy humano Comparto este v deo con algunos de|0.0|neutral|2020-01-05 20:43:38|1213924034154504192||Davidinfc|0|bankinter|0
10|Quieres solicitar una hipoteca personalizada Descubre m s aqu|0.0|neutral|2020-01-05 20:15:08|1213916865321418759|España|Bankinter|1|bankinter|59645
11|Y ponen como economista influyente a Daniel Lacalle Un poco de seriedad se ores de|0.0|neutral|2020-01-05 20:02:09|1213913595140071425|Iruña, Nafarroa|AringoK|0|bankinter|0
12|El escenario central para el Ibex35 en 2020 contempla los 10 005 puntos y un potencial del 4 5 a finales de a o|0.0|neutral|2020-01-05 20:00:00|1213913056171851777|Madrid|consensomercado|0|bankinter|0
13|Un t cnico de electrodom sticos consigue la nulidad de una hipoteca multidivisa de BANKINTER|0.0|neutral|2020-01-05 19:51:19|1213910869580697601|Madrid barcelona canarias|StopAbusosBanca|1|bankinter|0
14|Est s buscando universidad te mostramos un ranking con las mejores universidades del mundo|0.0|neutral|2020-01-05 19:30:17|1213905578529087488|España|Bankinter|0|bankinter|59645
15|Que una transferencia peri dica en los 4 de cada mes precisamente hoy domingo 5 y v spera de festivo no|0.0|neutral|2020-01-05 19:19:41|1213902909794144261|Barcelona|edribas|0|bankinter|0
16|Qui nes son los economistas m s famosos Estos son los 20 de economistas m s influyentes del mundo|0.0|neutral|2020-01-05 18:58:58|1213897695737323522|Madrid|JR_VOZME|0|bankinter|0
17|Qui nes son los economistas m s famosos Estos son los 20 de economistas m s influyentes del mundo|0.0|neutral|2020-01-05 18:45:06|1213894206521008134|España|Bankinter|0|bankinter|59645
18|Entre los desmoronamientos el ramo m s castigado es una vez m s el bancario Santander Bankinter Caixabank y|0.0|neutral|2020-01-05 18:06:01|1213884370727194636|Barcelona|cronicaglobal|0|bankinter|0
19|En el siguiente art culo te mostramos las certificaciones oficiales para los asesores financieros|0.0|neutral|2020-01-05 18:00:51|1213883068953616386|España|Bankinter|0|bankinter|59645
20|RT Las claves burs tiles de la semana|0.0|neutral|2020-01-05 17:32:30|1213875935105159168||cronicas_diary|1|bankinter|2876
21|RT Bankinter y BBVA en el top 10 de los bancos europeos m s rentables por lander https|0.5|positive|2020-01-05 17:32:12|1213875861490982912||cronicas_diary|2|bankinter|2876
22|Cambiar de banco con xito y empezar a sacar un dinero extra a tu n mina es mucho m s sencillo de lo que crees|0.0|neutral|2020-01-05 17:15:10|1213871573238734848|España|Bankinter|1|bankinter|59645
23|Recibir una herencia en Madrid Asturias o Andaluc a tiene unas consecuencias econ micas muy diferentes para los h|0.0|neutral|2020-01-05 16:30:23|1213860302124732425|España|Bankinter|1|bankinter|59645
24|necesito hablar con vosotros pr tel fono ya tengo un cargo vuestro de 100 euros necesito numero de tel fono ya|0.0|neutral|2020-01-05 16:11:32|1213855560212402182||37f4b6ea012244e|0|bankinter|0
25|b bankinter es una basura su servicio de atenci n al cliente es de lo peor|0.0|neutral|2020-01-05 16:02:47|1213853357884035077||37f4b6ea012244e|0|bankinter|0
26|necesito contactar con vosotros tengo un cargo de 100 euros de bankinter y no se que es gracias|0.0|neutral|2020-01-05 15:50:35|1213850285707268096||37f4b6ea012244e|0|bankinter|0
27|Qu es el impuesto de Patrimonio Consulta m s aqu|0.0|neutral|2020-01-05 15:45:08|1213848915235262464|España|Bankinter|0|bankinter|59645
28|tengo un cargo de bankinter de 100 euros necesito hablar con vosotros necesito un numero de tarificaci|0.0|neutral|2020-01-05 15:44:50|1213848842350858246||37f4b6ea012244e|0|bankinter|0
29|tengo un cargo de 100 de bankinter que se supone que es no da mas informaci n menuda mierda quiero saberlo ya|0.0|neutral|2020-01-05 15:42:30|1213848254217105408||37f4b6ea012244e|0|bankinter|0
30|A ti que che gustan os datos o PIB per c|0.0|neutral|2020-01-05 15:20:24|1213842690590347266||enxxebre|0|bankinter|0
31|se puede saber por qu tengo un movimienro de 100 euros en espera con concepto bankinter|0.0|neutral|2020-01-05 15:15:29|1213841456319942658||37f4b6ea012244e|0|bankinter|0
32|Has sido v ctima de un phishing Te ense amos las pistas para detectarlo y protegerte Ciberseguridad|0.0|neutral|2020-01-05 15:00:35|1213837703961292801|España|Bankinter|0|bankinter|59645
33|Entonces ves bien a Bankinter|0.0|neutral|2020-01-05 14:23:48|1213828449422454784|Tarragona, Catalunya|albertromagosa|0|bankinter|0
34|En el siguiente art culo te mostramos la tabla de equivalencia entre precio de alquiler y venta de la Vivienda|0.0|neutral|2020-01-05 14:15:08|1213826266870276097|España|Bankinter|1|bankinter|59645
35|En 2019 hemos vivido en Bankinter muchos momentos en los que la solidaridad era la protagonista|0.0|neutral|2020-01-05 13:30:18|1213814982602829825|España|Bankinter|1|bankinter|59645
36|La v spera de la noche de Reyes los espa oles gastar n de media con tarjeta 86 30 euros por persona un 20 29 m s|0.0|neutral|2020-01-05 12:10:06|1213794799721091078|España|Bankinter|0|bankinter|59645
37|Fu 1 No me has pasado lo que te he pedido pero ok 2 Aunque fuese lo que te|0.5|positive|2020-01-05 11:46:05|1213788757670977536|🦖 Jurassic Park|Ini_LeFreak|0|bankinter|1570
38|LeFreak Fu Para su amigo D gale que leer es edificante y sencillo Lo dif cil es anali|0.0|neutral|2020-01-05 11:40:41|1213787397709869056|Castelul Bran|periclesaso|0|bankinter|0
39|Te contamos las Diferencias en los a os de vida laboral por pa ses Jubilacion EdadJubilacion|0.0|neutral|2020-01-05 11:25:03|1213783464442503168|España|Bankinter|0|bankinter|59645
